.,.,O,.,.,.,.,.,.,.,R,#,X,#,#,2,w,.,.,.
3,.,O,.,#,#,#,#,#,#,#,w,#,X,#,R,#,.,#,.
.,1,O,#,#,#,#,#,#,#,#,.,#,X,#,#,#,.,#,.
.,.,.,.,.,.,.,.,.,.,1,.,#,R,#,.,.,.,#,.
.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,.,.,.,#,.
.,.,.,.,.,.,.,.,.,.,O,.,O,3,.,.,.,.,#,.
.,.,.,.,.,.,.,O,.,.,.,.,.,3,.,.,.,.,2,.
.,.,.,.,.,.,.,O,.,.,.,.,.,3,.,.,.,.,#,w
.,.,.,.,.,.,.,#,w,w,w,w,w,3,.,.,.,.,#,.
.,.,.,.,.,.,.,#,X,X,X,X,X,3,.,.,.,.,#,.
.,.,.,.,.,.,.,.,=,=,=,=,=,#,#,.,.,.,#,.
.,.,.,.,.,w,.,.,4,.,5,.,.,.,.,.,.,.,#,.
.,.,.,.,R,w,.,.,.,4,.,5,.,.,.,.,.,.,#,.
.,.,.,.,.,w,.,.,.,.,.,.,.,.,.,.,.,.,#,.
.,.,.,.,.,w,.,.,.,.,#,.,.,.,.,.,.,.,#,.
.,.,.,.,#,.,.,#,w,#,#,=,=,.,.,.,.,.,#,.
#,#,#,#,#,.,.,#,=,#,#,w,#,.,.,.,.,.,#,.
.,.,^,.,.,.,.,#,R,#,#,R,#,.,.,.,.,.,#,R
#,#,4,X,3,w,.,#,#,#,#,#,#,.,.,.,.,2,w,w
R,w,4,X,w,w,.,.,.,.,.,.,.,.,.,.,.,.,.,1
