.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,#,X,X,X,X,#,.,.,.,.,.,.,.,.,.,.
#,#,#,#,#,#,#,#,#,#,X,#,#,#,#,X,#,#,#,#,#,#,#,#,#,#
R,w,X,.,.,.,.,.,.,.,.,3,.,.,3,.,.,.,.,.,.,.,.,X,w,R
R,w,X,.,.,1,=,=,.,.,.,.,.,.,.,.,.,.,=,=,2,.,.,X,w,R
#,R,#,#,#,.,1,#,X,#,#,#,.,.,#,#,#,X,#,2,.,#,#,#,R,#
#,#,#,.,.,.,.,.,#,3,.,#,.,.,#,.,3,#,.,.,.,.,.,#,#,#
.,.,.,.,▲,.,.,.,#,.,.,#,.,.,#,.,.,#,.,.,.,△,.,.,.,.
.,.,.,.,.,.,.,.,#,.,.,#,w,w,#,.,.,#,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,#,.,.,#,R,R,#,.,.,#,.,.,.,.,.,.,.,.
