.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,w,X,X,X,X,X,X,#
.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,w,w,w,w,#,4,#,#,#,#,.,#
.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,X,X,X,X,1,#,#,#,#,#,.,#
.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,w,w,w,w,#,1,#,#,#,#,◄,#
.,.,.,.,.,.,.,.,.,.,.,.,#,3,w,R,R,R,R,w,.,#,#,#,#,.,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,w,w,w,#,#,.,#,#,#,#,.,#
.,.,.,.,O,O,.,.,#,.,.,.,.,.,#,X,X,1,#,#,5,.,.,.,.,.,#
R,#,.,.,.,O,O,.,#,.,.,.,5,.,#,w,w,#,#,#,5,#,#,#,#,#,1
#,#,.,.,.,.,O,O,O,#,.,5,5,1,#,=,#,#,O,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,#,.,△,O,.,.,.,.,.,O,.,.,.,.,.,.,.,.
#,#,#,#,#,#,w,#,#,#,.,.,#,w,O,O,w,O,O,.,.,.,.,.,.,.,.
.,.,.,.,.,2,X,#,X,X,X,X,X,3,O,O,.,.,O,.,.,.,.,.,.,.,.
#,#,#,#,#,#,#,X,#,#,#,.,#,w,w,.,O,.,O,.,.,.,.,.,.,.,.
#,#,#,#,#,#,#,#,#,R,w,.,#,O,O,O,O,.,O,.,.,.,.,.,.,.,.
#,#,#,2,#,#,.,.,.,R,w,.,.,.,.,.,.,.,O,.,.,.,.,.,.,.,.
R,w,X,X,w,.,.,.,.,.,w,.,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,O,O,O,O,O,O,O,O,O,O,O,O,.,.,4,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,#,R,.,.,.,.,.,.,.,.,.,.,.,.
