.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,#,X,X,X,X,X,#,.,.,.,.,.,.,.,.,.,.
#,#,#,#,#,#,#,#,#,#,X,#,#,#,#,#,X,#,#,#,#,#,#,#,#,#,#
R,w,X,.,.,.,.,.,.,.,.,3,.,.,.,3,.,.,.,.,.,.,.,.,X,w,R
R,w,X,.,.,2,=,=,.,.,.,.,.,.,.,.,.,.,.,=,=,1,.,.,X,w,R
#,R,#,#,#,.,2,#,X,#,#,#,.,.,.,#,#,#,X,#,1,.,#,#,#,R,#
#,#,#,.,.,.,.,.,#,3,.,#,.,.,.,#,.,3,#,.,.,.,.,.,#,#,#
.,.,.,.,△,.,.,.,#,.,.,#,.,.,.,#,.,.,#,.,.,.,▲,.,.,.,.
.,.,.,.,.,.,.,.,#,.,.,#,w,w,w,#,.,.,#,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,#,.,.,#,R,.,R,#,.,.,#,.,.,.,.,.,.,.,.
