.,.,.,.,.,.,#,R,.,#,.,.,.,.,.,.
.,#,#,#,.,.,#,w,w,#,.,.,#,#,#,.
.,.,.,#,.,.,.,=,=,.,.,.,#,.,.,.
.,.,.,#,.,.,#,.,.,#,.,.,#,.,.,.
.,.,.,#,.,3,X,.,.,#,.,.,#,.,.,.
.,.,.,#,.,2,#,R,.,#,.,.,#,.,.,.
.,X,.,#,w,w,w,w,w,#,.,.,#,.,X,.
.,X,.,#,w,#,2,X,X,2,.,.,#,.,X,.
.,X,.,#,R,#,#,O,X,#,.,.,#,.,X,.
.,X,X,#,#,#,#,.,.,#,#,#,#,X,X,.
.,=,=,X,X,.,#,.,O,#,.,X,X,=,=,#
.,▷,.,1,X,.,#,.,O,#,.,X,1,.,◄,.
.,.,.,1,X,.,#,O,.,#,.,X,1,#,.,.
.,#,#,#,X,X,#,.,O,#,X,X,#,#,#,.
.,#,R,R,.,.,#,O,.,#,.,.,R,R,#,.
.,#,#,#,w,w,#,1,.,#,w,w,#,#,#,.
.,.,.,.,3,2,#,.,.,#,2,3,.,.,.,.
.,.,3,#,#,#,#,.,.,#,#,#,#,3,.,.
