R,w,5,.,.,.,.,.,.,.,.,#,.,.,#,2,.,.,.,.,.,.,.,.,.
#,#,#,#,#,#,#,#,#,#,.,#,=,.,.,#,2,.,.,.,.,.,.,.,.
R,.,.,.,.,.,w,X,1,=,.,=,=,.,.,#,#,2,.,.,.,.,.,.,.
#,.,.,.,w,w,w,=,=,=,.,=,X,.,.,.,#,#,2,.,.,.,.,.,.
#,#,.,.,.,w,X,1,=,=,.,=,X,.,.,.,.,#,#,2,.,.,.,.,.
.,#,#,.,w,w,w,=,=,=,.,=,X,.,.,.,.,.,#,#,2,.,.,.,.
O,#,#,#,.,.,w,X,1,=,^,=,X,.,.,.,.,.,.,#,#,2,.,.,.
1,#,#,#,#,#,#,=,=,.,.,=,X,.,#,.,.,.,.,.,#,#,2,=,=
X,3,O,.,.,#,.,.,.,.,#,#,X,.,#,.,.,.,.,.,.,#,#,3,X
w,#,=,#,.,#,.,.,.,.,#,R,X,.,#,.,.,.,.,.,.,.,#,#,w
R,#,.,#,.,#,w,w,w,4,#,#,#,3,#,.,.,.,.,.,.,.,.,#,R
#,#,=,#,.,#,w,5,X,.,4,.,.,.,#,.,.,.,.,.,.,.,.,#,#
X,7,=,#,.,#,.,7,.,5,.,#,#,#,#,#,#,#,#,#,#,#,#,#,#
w,w,6,#,.,#,.,.,.,.,#,=,=,X,w,R,O,O,O,O,O,O,O,O,O
R,w,.,#,.,O,.,.,.,.,.,O,6,O,O,O,O,O,O,O,O,O,O,O,O
