#,R,#,R,#,R,#,C,#
#,w,#,w,#,w,#,w,#
#,.,#,.,.,.,.,.,#
#,.,.,.,.,.,.,.,.
#,.,.,.,.,.,.,.,.
#,.,.,.,.,.,.,.,.
#,.,.,.,.,.,.,.,.
#,.,.,.,.,.,.,#,#
#,.,.,.,.,.,.,2,.
#,.,.,.,.,.,.,#,w
#,.,.,.,.,.,.,#,R
#,.,.,.,.,.,.,#,#
#,.,.,.,.,.,.,.,#
#,.,#,w,#,w,#,.,#
#,.,#,R,#,R,#,.,#
#,.,#,#,#,#,#,#,#
1,.,.,.,.,.,.,.,#
#,#,#,1,.,X,#,#,#
R,#,R,#,.,#,R,#,R
w,#,w,#,.,#,w,#,w
.,.,.,.,.,.,.,.,.
#,#,#,.,.,#,.,#,#
#,.,.,.,.,#,.,w,R
#,.,.,#,.,#,#,#,#
#,.,.,#,.,#,.,.,#
#,.,.,#,.,#,.,.,#
#,.,.,#,.,#,.,.,#
#,.,.,#,.,#,.,.,#
.,.,.,#,.,.,.,.,.
.,#,#,#,.,#,#,#,.
.,#,R,#,.,#,R,#,.
.,O,#,#,▲,#,.,.,.
